transactionId;tipo;valor;data;dataLote;descricao;numeroDocumento;descInfComplementar
"919245-97F6FD-2AAF65-3D72AC-3CD7AC";"CREDITO";"569.15";"2026-05-05T14:49";"2026-05-05";"ESTORNO PIX EMITIDO";"Pix";"Estorno Pix|@18.839.098/0001-30|@"
"93DC0A-51D314-4752CA-4BFF30-8D90DF";"DEBITO";"45.00";"2026-05-05T22:11";"2026-05-05";"TARIFA RENOVAÇÃO LIMITE CONTA GARANTIDA";"26";""
"17010B-EF8B72-8B9113-F4F97E-248335";"DEBITO";"100.34";"2026-05-06T07:38";"2026-05-06";"DÉB.CONV.TELECOMUNICAÇÕES";"15840917";""
"865526-CFE124-37378D-6727AF-15BD7C";"DEBITO";"153.87";"2026-05-06T07:39";"2026-05-06";"DÉB.CONV.TELECOMUNICAÇÕES";"15840922";""
"28E418-1E9917-7F61C4-1AF239-D00144";"DEBITO";"7394.00";"2026-05-07T19:48";"2026-05-07";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@49.551.689 0001-31|@"
"645C4E-30CDA8-645E33-FAAE02-CD4F29";"DEBITO";"58.36";"2026-05-07T00:00";"2026-05-07";"JUROS CONTA GARANTIDA";"LC-202604";""
"EC7202-43DA09-FA1A95-78506E-C276D7";"CREDITO";"939.46";"2026-05-15T13:04";"2026-05-15";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@EDITORA E DISTRIBUIDORA EDUCAC|@38.733.648 0001-40|@"
"40CB89-A0A90F-12BC66-4B7573-A89C53";"CREDITO";"12585.66";"2026-05-15T13:39";"2026-05-15";"CRÉD.TED-STR";"364255772";"EDITORA E DISTRIBUIDORA EDUCACIONAL S.A|@38.733.648 0001-40|@CODIGO TED: T1063936985"
"5E08B5-8718DE-1D67EA-9FE997-3DD0AA";"DEBITO";"100.00";"2026-05-15T20:35";"2026-05-15";"TRANSF.REALIZADA PIX SICOOB";"15938416";"FAV.: INSTITUTO EDUCACIONAL DE GUANHAES|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"D33456-66C9B2-ED5D85-546B44-82BA0A";"DEBITO";"1894.96";"2026-05-15T20:36";"2026-05-15";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.019.076-**|@abril"
"09252F-CEFF19-B9D830-025001-7BD097";"DEBITO";"49.90";"2026-05-15T22:06";"2026-05-15";"DÉBITO PACOTE SERVIÇOS";"129";""
"D6D4E1-3E803D-127FAB-2EC07E-B92F2F";"DEBITO";"650.00";"2026-05-18T09:26";"2026-05-18";"TRANSF.REALIZADA PIX SICOOB";"15946400";"FAV.: MARLEY BRANDAO DE MEDEIROS|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"821554-4778A5-2A5693-FE882B-78AC24";"DEBITO";"180.00";"2026-05-18T11:37";"2026-05-18";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.376.756-**|@limpeza do polo"
"09F838-D211CB-3E9CBC-BAA885-8D2E52";"DEBITO";"200.00";"2026-05-18T12:44";"2026-05-18";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.952.206-**|@acao enfermagem"
"74498C-F684E9-9E05F5-F06D73-0D45A2";"DEBITO";"3000.00";"2026-05-18T14:57";"2026-05-18";"TRANSF.REALIZADA PIX SICOOB";"15952241";"FAV.: INSTITUTO EDUCACIONAL DE GUANHAES|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"683354-1FD050-AA4B4D-A16AC5-7DAA15";"DEBITO";"173.21";"2026-05-18T16:07";"2026-05-18";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.952.206-**|@acao enfermagem"
"DDACD5-501378-B23540-B49713-492EA3";"DEBITO";"109.90";"2026-05-20T09:36";"2026-05-20";"DÉB.TRANSF.CONTAS DIF.TIT. INTERCREDIS";"15968787";"FAV.: GATEWAY TELECOM LTDA|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@Ref Fatura 787408 20 05 2026"
"2560E0-DBA54A-25445A-779AB0-33C6AA";"CREDITO";"24.69";"2026-05-20T09:50";"2026-05-20";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@EDITORA E DISTRIBUIDORA EDUCAC|@38.733.648 0001-40|@"
"54AE0E-69FC62-2B6B7A-03BEDF-E72DA5";"CREDITO";"223.52";"2026-05-20T10:24";"2026-05-20";"CRÉD.TED-STR";"364564497";"EDITORA E DISTRIBUIDORA EDUCACIONAL S.A|@38.733.648 0001-40|@CODIGO TED: T1064818639"
"A09225-8766EF-D15E08-A55243-B02B94";"DEBITO";"2900.00";"2026-05-20T13:58";"2026-05-20";"DÉB. PAGAMENTO DE BOLETO INTERCREDIS";"15973114";""
"683375-791703-C0F2FB-649B61-D4E4C3";"CREDITO";"1999.00";"2026-05-20T17:17";"2026-05-20";"TRANSF.RECEBIDA - PIX SICOOB";"15976516";"REM.: INSTITUTO EDUCACIONAL DE GUANHAES|@Transferência Pix|@INSTITUTO EDUCACIONAL DE GUANHAES LTDA|@16.804.180 0001-02|@"
"0FF5B8-6343DD-86663E-FE7525-9C65EF";"DEBITO";"1422.56";"2026-05-20T17:17";"2026-05-20";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@00.394.460 0058-87|@Solicitacao Pix"
"EFD9E1-6766B0-C6423E-7CC70A-648169";"DEBITO";"500.00";"2026-05-20T17:18";"2026-05-20";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@48.815.689 0001-39|@"
"834AFE-81D900-48F2AA-AA3ED5-439405";"CREDITO";"800.00";"2026-05-20T17:20";"2026-05-20";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@MARLEY BRANDAO DE MEDEIROS|@***.924.416-**|@"
"7ADAF2-EFC75E-E75C06-847F0C-B469FB";"DEBITO";"69.00";"2026-05-21T00:00";"2026-05-21";"DÉB.CONV.TELECOMUNICAÇÕES";"VIVO PARTI";""
"733285-453C6D-AA26C9-A15E1C-CD3341";"DEBITO";"4393.46";"2026-05-22T00:00";"2026-05-22";"DÉB.CONV.DEMAIS EMPRESAS";"MASTERCARD";""
"E01CAF-207EB7-EB7BDD-8FC62D-AC71AF";"DEBITO";"904.99";"2026-05-22T00:00";"2026-05-22";"DÉB. PAGAMENTO DE BOLETO INTERCREDIS";"15969152";""
"E28AD2-40D7EE-2FB0A6-0BC3D5-2E80F5";"CREDITO";"4393.46";"2026-05-22T00:00";"2026-05-22";"ESTORNO DÉB.CONV.DEMAIS EMPRESAS";"MASTERCA";""
"8C59C7-9BADAA-73C95B-AF5600-770200";"CREDITO";"3168.42";"2026-05-22T06:38";"2026-05-22";"CRÉD.TED-STR";"364732631";"EDITORA E DISTRIBUIDORA EDUCACIONAL S.A|@38.733.648 0001-40|@CODIGO TED: T1065290049"
"937369-63C1D6-E596D2-548263-AE2AC9";"DEBITO";"2336.00";"2026-05-22T12:16";"2026-05-22";"TRANSF.REALIZADA PIX SICOOB";"15991288";"FAV.: INSTITUTO EDUCACIONAL DE GUANHAES|@Transferência Pix|@MARLEY BRANDAO DE MEDEIROS LTDA|@41.921.749 0001-59|@"
"7CFE4E-52532A-C42D86-CC0D59-520F26";"CREDITO";"1263.35";"2026-05-22T12:20";"2026-05-22";"PIX RECEBIDO - OUTRA IF";"Pix";"Recebimento Pix|@EDITORA E DISTRIBUIDORA EDUCAC|@38.733.648 0001-40|@"
"55CDB3-CC2435-6C2440-F024DF-B5FD9E";"DEBITO";"1200.00";"2026-05-27T08:10";"2026-05-27";"PIX EMITIDO OUTRA IF";"Pix";"Pagamento Pix|@***.924.416-**|@"
